,name,price,publishers,genres,estimated_owners,median_playtime_forever,peak_ccu,release_year,compatible_systems,positive_rate
46616,Alien Arena: Warriors Of Mars,0.0,"['COR Entertainment, LLC']",['Action',0 - 20000,75,0,2017,2,0.7746478873239436
46628,Final Bravely,3.99,['Windam'],['Action',20000 - 50000,189,0,2017,1,0.8620689655172413
46629,Mirror,1.99,['Paradise Project'],['Adventure',2000000 - 5000000,301,445,2018,2,0.9692189025345594
46630,Onward,24.99,['Downpour Interactive'],['Action',500000 - 1000000,343,136,2016,1,0.7332490518331226
46633,The Complex,4.93,['Wales Interactive'],['Adventure'],50000 - 100000,180,27,2020,2,0.7785714285714286
46635,Railroad Tycoon II Platinum,4.99,['2K'],['Strategy'],200000 - 500000,88,108,2007,1,0.8822374877330716
46638,Captivity,0.99,['New Worlds Games'],['Action',50000 - 100000,262,0,2016,1,0.47674418604651164
46644,Shred! 2 - ft Sam Pilgrim,9.99,['ASBO Interactive Ltd'],['Action',0 - 20000,146,2,2018,2,0.8838709677419355
46647,Blazing Beaks,14.99,['Applava'],['Action',200000 - 500000,1895,54,2019,1,0.8539944903581267
46650,Realms of Arkania 1 - Blade of Destiny Classic,0.99,['United Independent Entertainment'],['RPG'],20000 - 50000,218,0,2014,3,0.6862745098039216
46651,Gem Monster,2.99,['keggame'],['Adventure',0 - 20000,228,0,2016,1,0.7407407407407407
46658,War Trigger 3,0.0,"['Rocketeer Games Studio, LLC']",['Action',1000000 - 2000000,22,25,2015,2,0.5960591133004927
46659,Perfect Golf,34.99,"['Perfect.Golf, Inc.']",['Indie',100000 - 200000,1388,18,2016,3,0.6507009345794392
46664,SuperLuminauts,4.99,['LampFire'],['Action',0 - 20000,1,0,2017,2,0.3333333333333333
46675,Bad Dream: Fever,9.99,"['Ultimate Games S.A.', 'Art Games Studio S.A.']",['Adventure',50000 - 100000,123,1,2018,2,0.800761421319797
46676,12 is Better Than 6,9.99,['HypeTrain Digital'],['Action',500000 - 1000000,347,23,2015,3,0.8459318058812917
46679,XWidget,3.99,['DeskDev Team'],['Animation & Modeling',50000 - 100000,96,12,2018,1,0.7703081232492998
46680,Odd||Even,19.99,['kylix studio'],['Casual',0 - 20000,269,0,2016,1,0.5567010309278351
46684,Grass Cutter - Mutated Lawns,0.0,['USANIK STD'],['Action',50000 - 100000,292,0,2017,3,0.8888888888888888
46685,Particle Fleet: Emergence,14.99,['Knuckle Cracker'],['Indie',50000 - 100000,1732,59,2016,3,0.9259259259259259
46698,Splasher,14.99,['Dear Villagers'],['Action',20000 - 50000,336,1,2017,3,0.9324473975636767
46703,暖雪 Warm Snow,17.99,['bilibili'],['Action',500000 - 1000000,958,1350,2022,1,0.9020567499854338
46710,Sudoku Jigsaw / 拼图数独,1.99,['Hook Games'],['Casual',0 - 20000,94,1,2018,3,0.9154929577464789
46712,Orb of Creation,4.99,['MarpleGames'],['Casual',20000 - 50000,1358,165,2022,1,0.9525547445255474
46717,Full-On Paintball,0.0,['Gamepainters'],['Action',0 - 20000,5,0,2018,1,0.3870967741935484
46726,Quiplash,9.99,"['Jackbox Games, Inc.']",['Casual',200000 - 500000,28,36,2015,3,0.894855850763143
46727,Lost in Paradise,2.99,['Elev8 Games'],['Action',100000 - 200000,205,1,2015,3,0.5405405405405406
46739,Football Manager 2019,0.0,['SEGA'],['Simulation',1000000 - 2000000,14356,2193,2018,2,0.8652367462565763
46746,Gamer Career Tycoon,6.99,['Raptor Claw Games'],['Casual',50000 - 100000,504,0,2018,1,0.8113207547169812
46747,Ficket: 追剧引擎,3.99,['一个小目标工作室'],['Indie',20000 - 50000,24,563,2021,1,0.7347740667976425
46751,Mushroom 11,14.99,['Untame'],['Action',100000 - 200000,230,2,2015,3,0.8314785373608903
46753,The Swords of Ditto: Mormo's Curse,14.99,['Devolver Digital'],['Action',100000 - 200000,263,15,2018,3,0.6220435193945127
46756,小白兔电商~Bunny e-Shop,10.99,['NVLMaker'],['Adventure',200000 - 500000,1091,56,2021,1,0.9578986129863754
46757,Fault: Elder Orb,0.0,['Strange Matter Studios'],['Action',200000 - 500000,2000,444,2020,1,0.61395101171459
46760,Myst III: Exile,14.99,"['Cyan Worlds Inc', 'Ubisoft']",['Adventure',50000 - 100000,8,10,2018,2,0.9415807560137457
46761,Z.I.O.N.,0.54,['VGstudio'],['Action',50000 - 100000,414,2,2016,1,0.3807829181494662
46769,7 Billion Humans,14.99,['Tomorrow Corporation'],['Indie',200000 - 500000,287,12,2018,3,0.9315866084425036
46773,Super GTR Racing,3.99,['Bullid Games'],['Casual',0 - 20000,152,0,2018,3,0.5853658536585366
46778,Due Process,14.99,['Annapurna Interactive'],['Action',200000 - 500000,126,84,2020,1,0.8232269503546099
46782,Rock of Ages 3: Make & Break,29.99,"['Modus Games', '3goo']",['Action',20000 - 50000,282,7,2020,1,0.7332439678284183
46784,Death by Game Show,1.99,[''],['Action',0 - 20000,126,0,2016,3,0.7586206896551724
46792,Poly Bridge,9.99,['Dry Cactus'],['Indie',1000000 - 2000000,143,92,2016,3,0.9158969372873116
46796,Muse Dash,2.99,['hasuhasu'],['Action',1000000 - 2000000,185,1452,2019,2,0.9375415188477901
46800,Crashday Redline Edition,11.99,['2tainment GmbH'],['Action',50000 - 100000,179,9,2017,1,0.883601756954612
46807,Imagine Me,2.99,['KinifiGames LLC'],['Adventure',20000 - 50000,188,0,2014,3,0.3225058004640371
46808,Gimbal,9.99,['8888888 LABS'],['Action',20000 - 50000,13,0,2013,1,0.73568281938326
46809,Skeleton Boomerang,9.99,['Artisano'],['Action',0 - 20000,1,0,2017,1,0.967741935483871
46814,Oppai Muse,1.99,['Oppai-Man'],['Action'],0 - 20000,40,1,2020,2,
46815,Tormented Souls,19.99,['PQube'],['Action',100000 - 200000,752,29,2021,1,0.9351288734433826
46816,Getting Over It with Bennett Foddy,7.99,['Bennett Foddy'],['Action'],2000000 - 5000000,134,490,2017,3,0.827756467001082
46817,Lup,1.99,['Back To Basics Gaming'],['Action',500000 - 1000000,212,1,2016,1,0.4393063583815029
46820,Ultimate Word Search 2: Letter Boxed,0.99,['EnsenaSoft'],['Casual'],50000 - 100000,181,1,2016,1,0.3855421686746988
46822,Fiery Disaster,1.99,['Vogelfänger'],['Action',20000 - 50000,257,3,2016,2,0.4418604651162791
46825,Draw Near,0.0,['Taiga Nishimura'],['Action',0 - 20000,31,0,2018,1,0.7
46826,Faeria,19.99,['Versus Evil'],['Adventure',500000 - 1000000,98,58,2017,3,0.8373851171064335
46829,Celeste,19.99,['Matt Makes Games Inc.'],['Action',1000000 - 2000000,394,1191,2018,3,0.9777153324915077
46831,Metal Dead,4.99,['Walk Thru Walls Studios'],['Adventure',20000 - 50000,316,1,2014,1,0.848421052631579
46842,Interstellar Logistics Inc,3.99,['Exalted Guy Interactive'],['Casual'],20000 - 50000,294,0,2016,1,0.8857142857142857
46843,BlazBlue: Continuum Shift Extend,2.99,"['H2 Interactive Co., Ltd.']",['Action'],100000 - 200000,452,6,2014,1,0.9114982578397213
46844,Martha Is Dead,29.99,['Wired Productions'],['Adventure',50000 - 100000,366,27,2022,1,0.8001158748551565
46845,Tales of Arise,59.99,['Bandai Namco Entertainment'],['Action',2000000 - 5000000,2401,1283,2021,1,0.9055957051414413
46846,Ready Player One: OASIS beta,0.0,['Vive Studios'],['Action',200000 - 500000,45,1,2018,1,0.6004140786749482
46847,Wanderland,0.0,['Jetdogs Studios'],['Adventure',100000 - 200000,640,19,2016,1,0.5961538461538461
46859,Black Ice,19.99,['Super Duper Game Company'],['Action',20000 - 50000,110,2,2014,3,0.9537892791127541
46885,Clown House (Palyaço Evi),0.0,['Aslan Game Studio'],['Action',200000 - 500000,108,1,2015,3,0.48778280542986424
46886,Environmental Station Alpha,7.99,['Hempuli Oy'],['Action',50000 - 100000,16,3,2015,2,0.8578066914498141
46889,Crystals of Time,0.99,['exosyphen studios'],['Casual',200000 - 500000,202,1,2014,1,0.6464746772591857
46892,Four Sided Fantasy,9.99,['Serenity Forge'],['Indie'],50000 - 100000,16,1,2016,2,0.8191780821917808
46893,Solarium,0.0,['Sunfleck Software'],['Adventure',50000 - 100000,5,0,2017,1,0.6771653543307087
46897,Medal of Honor™,19.99,['Electronic Arts'],['Action'],1000000 - 2000000,108,56,2010,1,0.7287953905935951
46900,Super 3-D Noah's Ark,1.99,"['Piko Interactive LLC', 'Bleem!']",['Action'],50000 - 100000,229,0,2015,3,0.8909329829172142
46901,IL-2 Sturmovik: Cliffs of Dover Blitz Edition,9.99,['1C Game Studios'],['Simulation'],200000 - 500000,595,20,2017,1,0.7
46903,Ripple Effect,0.0,"['Well Played Studio, Inc']",['Action',50000 - 100000,10,0,2017,1,0.6833333333333333
46913,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,14.99,['Telltale'],['Adventure',20000 - 50000,383,6,2009,1,0.9166666666666666
46914,Drift Streets Japan,1.99,['SA Industry'],['Action',500000 - 1000000,364,49,2015,1,0.6457902511078286
46918,Resident Evil 0,19.99,"['CAPCOM Co., Ltd.']",['Action',500000 - 1000000,362,182,2016,1,0.8362529506771027
46922,Twin Mirror,29.99,"[""DON'T NOD""]",['Adventure'],0 - 20000,67,5,2021,1,0.7743362831858407
46924,Gal*Gun 2,29.99,['PQube'],['Action',50000 - 100000,721,44,2018,1,0.8836653386454183
46929,NeonBall,0.0,['Nelium Games'],['Casual',20000 - 50000,9,0,2018,1,0.5454545454545454
46931,The Gardens Between,19.99,['The Voxel Agents'],['Adventure',20000 - 50000,103,2,2018,3,0.94
46933,GOD's DEATH,3.99,['Marco Tancredi'],['Indie',20000 - 50000,321,0,2016,1,0.4
46934,Hunting Unlimited 4,9.99,['Ziggurat'],['Simulation'],0 - 20000,31,0,2016,1,0.7058823529411765
46935,Braveland Wizard,7.99,['Tortuga Team'],['Adventure',20000 - 50000,218,0,2014,3,0.79
46937,Powernaut VANGARDT,0.99,['Alex Hall'],['Action',0 - 20000,340,0,2017,1,0.7692307692307693
46956,Capybara Spa,7.99,['Cozy Bee Games'],['Simulation'],20000 - 50000,77,2,2022,1,0.9738988580750407
46962,KOEWOTAYORINI / 声之寄托,0.0,"['Pujia8 Studio', 'Gamera Game']",['Adventure',100000 - 200000,81,0,2018,1,0.859075535512965
46963,9th Company: Roots Of Terror,0.99,['Strategy First'],['Strategy'],20000 - 50000,31,0,2009,1,0.5751295336787565
46972,Space Invaders Extreme,19.99,"['Degica', 'TAITO CORP.']",['Action'],0 - 20000,17,2,2018,1,0.9244186046511628
46973,The Mexican Dream,6.99,['Idea Cabin'],['Violent',0 - 20000,67,0,2017,3,0.628099173553719
46982,The Dope Game,4.99,['CoaguCo Industries'],['Adventure',20000 - 50000,46,0,2016,3,0.815
46984,Assassin's Creed® III Remastered,39.99,['Ubisoft Entertainment'],['Action',1000000 - 2000000,333,245,2019,1,0.5498960498960499
46986,Frozen Synapse,24.99,['Mode 7'],['Indie',500000 - 1000000,91,1,2011,3,0.8240850059031877
46987,Zeus + Poseidon,9.99,['Activision'],['Strategy'],200000 - 500000,5909,139,2016,1,0.9581589958158996
46989,SRX: The Game,39.99,"['Monster Games, Inc.']",['Racing',0 - 20000,2152,8,2021,1,0.8984375
46996,Detached,24.99,['Anshar Studios'],['Indie',20000 - 50000,61,1,2017,1,0.5969696969696969
46999,Sam & Max Hit the Road,5.99,"['Lucasfilm', 'Disney']",['Adventure'],50000 - 100000,277,13,2018,2,0.9670781893004116
47001,Atelier Sophie: The Alchemist of the Mysterious Book,0.0,"['KOEI TECMO GAMES CO., LTD.']",['RPG'],50000 - 100000,1182,8,2017,1,0.8716960352422908
47009,"Warhammer® 40,000: Dawn of War® II Chaos Rising",19.99,"['SEGA', 'Feral Interactive (Mac/Linux)']",['Strategy'],1000000 - 2000000,213,95,2010,3,0.9125448028673835
47010,Expander,2.99,['All Civilized Planets'],['Action',0 - 20000,4,0,2015,3,0.8333333333333334
47023,Vestaria Saga I: War of the Scions,19.99,"['DANGEN Entertainment', 'Gamera Games']",['RPG',20000 - 50000,51,16,2019,1,0.8759791122715405
47027,Depths of Fear :: Knossos,0.0,['Digital Tribe'],['Action',20000 - 50000,219,0,2014,2,0.65625
47033,Fast and Low,20.99,['Urban Giraffe Games Inc.'],['Action',0 - 20000,190,4,2019,1,0.8068669527896996
47040,Chronicon,13.99,['Subworld'],['Action',500000 - 1000000,1079,459,2020,2,0.9554388799138396
47041,Helmet Heroes,0.0,['Helmet Games'],['Action',200000 - 500000,1404,58,2016,2,0.5254988913525499
47048,Last Devil,8.99,['Mango Party'],['Action',0 - 20000,398,8,2021,1,
47051,Decent Icons 2,2.99,['Decent Software LLC'],['Casual',0 - 20000,1,1,2019,1,0.7857142857142857
47056,7th Sector,12.99,['Носков Сергей'],['Adventure',100000 - 200000,170,0,2019,1,0.7641843971631206
47058,Gloom,9.99,['Hunchback Studio'],['Action',20000 - 50000,62,2,2017,3,0.8296296296296296
47062,Gorilla Tag,0.0,['Another Axiom'],['Action',1000000 - 2000000,26,501,2021,1,0.9391129906744741
47063,GameLooper,0.0,['GameLooper'],['Education',100000 - 200000,42,0,2016,2,0.6973684210526315
47071,Hadean Tactics,17.99,['Emberfish Games'],['Indie',0 - 20000,281,7,2021,3,0.9072164948453608
47074,The Cubicle.,0.0,['Pelican Party Studios'],['Action',100000 - 200000,12,0,2016,1,0.8754098360655738
47080,Mad Snowboarding,4.99,['Denis Lapiner'],['Indie',0 - 20000,149,0,2015,2,0.5333333333333333
47085,Mass Effect™ Legendary Edition,59.99,['Electronic Arts'],['Action',500000 - 1000000,2345,3792,2021,1,0.9334411117226197
47086,The Coin Game,13.99,['devotid Media'],['Adventure',200000 - 500000,179,34,2019,1,0.9640010285420416
47087,Earn to Die 2,4.99,['Not Doppler'],['Action',50000 - 100000,98,10,2016,2,0.9163059163059163
47089,Alek - The Lost Kingdom,19.99,['Blackmyers Studio'],['Action',0 - 20000,564,9,2021,1,0.7972350230414746
47092,Hentai Mosaique Fix-IT Shoppe,1.99,['Lil Hentai Games'],['Casual',0 - 20000,116,2,2019,2,0.9623287671232876
47095,A Virus Named TOM,9.99,['Misfits Attic'],['Action',200000 - 500000,122,1,2012,3,0.5615491009681881
47097,Antenna,0.0,['LWNA'],['Casual',200000 - 500000,41,0,2016,1,0.7489557226399332
47099,Rebel Galaxy,19.99,['Double Damage Games'],['Action',500000 - 1000000,853,55,2015,2,0.8519609155400883
47104,Adventures of Bertram Fiddle 1: A Dreadly Business,4.99,['Deck13'],['Adventure',50000 - 100000,85,0,2015,2,0.8624454148471615
47106,Displaced,5.99,['Alawar Entertainment'],['Adventure',0 - 20000,307,0,2017,2,0.5588235294117647
47108,Hero of the Kingdom,5.99,['Lonely Troops'],['Adventure',100000 - 200000,344,3,2013,3,0.9336832061068703
47110,Mass Effect (2007),19.99,['Electronic Arts'],['Action',1000000 - 2000000,609,78,2008,1,0.9373183369139391
47112,Twelve Minutes,24.99,['Annapurna Interactive'],['Adventure',200000 - 500000,252,24,2021,1,0.7310165073848827
47114,BeachHead 2020,19.99,['Digital Fusion Inc.'],['Action',50000 - 100000,53,0,2020,2,0.6140350877192983
47117,Through the Darkest of Times,14.99,['HandyGames'],['Adventure',50000 - 100000,32,3,2020,2,0.8475750577367206
47120,Heli Heroes,4.99,['Topware Interactive'],['Action',100000 - 200000,272,2,2013,2,0.5363984674329502
47121,Atelier Ryza: Ever Darkness & the Secret Hideout,59.99,"['KOEI TECMO GAMES CO., LTD.']",['RPG'],200000 - 500000,125,85,2019,1,0.8696517412935323
47124,Deisim,14.99,['Myron Software'],['Casual',50000 - 100000,480,11,2016,1,0.922509225092251
47130,Skeet: VR Target Shooting,0.0,['Flatbox Studios LLC'],['Action',50000 - 100000,11,7,2016,1,0.7625
47132,ADventure Lib,1.99,['Fancy Fish Games'],['Adventure',0 - 20000,137,0,2015,3,0.4158415841584158
47140,de Blob,19.99,['THQ Nordic'],['Action',0 - 20000,146,0,2017,1,0.8849557522123894
47141,"Warhammer® 40,000: Dawn of War® – Winter Assault",12.99,['SEGA'],['Strategy'],200000 - 500000,174,40,2007,1,0.8969270166453265
47143,Psi Project,0.49,['Droid Riot'],['Action',0 - 20000,2,0,2017,1,0.4338235294117647
47144,"Ortus Arena, strategy board game online, FOR FREE",0.0,['Plug In Digital'],['Casual',0 - 20000,11,0,2016,1,0.625
47161,Open Country,14.99,['505 Games'],['Adventure',0 - 20000,686,1,2021,1,0.37771739130434784
47162,Drive-By Hero,3.99,['Idea Cabin'],['Action',50000 - 100000,207,0,2020,3,0.4888888888888889
47164,Mega Overload VR,14.99,['Subdream Studios'],['Action'],0 - 20000,198,1,2017,1,0.9714285714285714
47174,none,0.0,['none'],['Adventure',50000 - 100000,274,0,2015,3,0.25806451612903225
47185,Say Goodbye,0.0,"[""morojenoe's empire""]",['Violent',20000 - 50000,285,0,2017,1,0.5591397849462365
47190,Rubber and Lead,0.99,[''],['Action',50000 - 100000,293,0,2015,1,0.49473684210526314
47195,Damn virgins,2.99,['Luis Ruiz'],['Action',0 - 20000,193,0,2015,1,0.8620689655172413
47196,Sphere 3: Rage of the Devastator,0.0,['GameXP.com'],['Action',100000 - 200000,62,6,2015,1,0.49743589743589745
47202,Qvabllock,0.49,['NedoStudio'],['Casual',0 - 20000,30,0,2018,1,0.8260869565217391
47213,Pressure Overdrive,12.99,['Chasing Carrots'],['Action',20000 - 50000,580,0,2017,3,0.7218045112781954
47217,Incitement 3,5.99,['New Reality Games'],['Adventure',100000 - 200000,310,0,2015,1,0.6527777777777778
47218,Under: Depths of Fear,9.99,"['Rogue Games, Inc.', 'Gamera Games']",['Action',0 - 20000,106,0,2020,1,0.6855895196506551
47224,A Wizard's Lizard,9.99,['Lost Decade Games'],['Action',50000 - 100000,179,0,2014,3,0.6979405034324943
47228,STAR WARS™: The Force Unleashed™ II,19.99,"['LucasArts', 'Lucasfilm', 'Disney']",['Action'],1000000 - 2000000,249,56,2010,1,0.6111687413554634
47232,Portal 2 - The Final Hours,1.99,['Geoff Keighley'],[],200000 - 500000,31,1,2011,2,0.7922077922077922
47236,The Land of Pain,9.99,['Alessandro Guzzo'],['Adventure',50000 - 100000,200,0,2017,1,0.7520833333333333
47239,Fran Bow,14.99,['Killmonday Games AB'],['Adventure',500000 - 1000000,447,84,2015,3,0.9709792336432357
47250,HEARTBEAT,14.99,['CHUMBOSOFT LLC'],['Indie',50000 - 100000,134,0,2018,3,0.8536231884057971
47253,D-Corp,19.99,['Frogsong Studios'],['Action',0 - 20000,178,1,2021,2,0.8679245283018868
47258,Override: Mech City Brawl,19.99,['Modus Games'],['Action',20000 - 50000,127,1,2018,1,0.7909090909090909
47259,Movie Studio Boss: The Sequel,9.99,[''],['Casual',0 - 20000,122,0,2014,2,0.2328767123287671
47262,Burger Shop 2,6.99,['GoBit Games'],['Action',20000 - 50000,218,22,2017,2,0.971830985915493
47265,Tasty Planet,5.99,['Dingo Games'],['Action',0 - 20000,601,2,2017,2,0.8271604938271605
47270,Talisman: Prologue,0.0,['Nomad Games'],['Indie',200000 - 500000,322,0,2013,1,0.5726256983240223
47273,Rescue your chickens,0.99,['Mihai Morosanu'],['Action',20000 - 50000,222,0,2016,3,0.7068965517241379
47277,Realms of the Haunting,2.99,['Funbox Media Ltd'],['Action'],200000 - 500000,8,1,2014,1,0.7676991150442478
47283,Hidden & Dangerous 2: Courage Under Fire,9.99,['2K'],['Action',50000 - 100000,142,5,2017,1,0.9551401869158879
47289,HUBE: Seeker of Achievements,0.99,['AFBIK Studio'],['Action',0 - 20000,17,0,2018,1,0.684931506849315
47297,G-senjou no Maou - The Devil on G-String,19.99,['Sekai Project'],['Adventure',20000 - 50000,20,6,2015,1,0.9267015706806283
47299,Sakura Swim Club,9.99,['Winged Cloud'],['Casual',50000 - 100000,378,2,2015,3,0.8556701030927835
47309,Do Not Feed the Monkeys,11.99,['Alawar Premium'],['Indie',500000 - 1000000,196,78,2018,3,0.934350705441981
47311,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,19.99,['Tripwire Interactive'],['Action',2000000 - 5000000,273,243,2011,1,0.9240358069103991
47315,Spin Rush,10.99,['EGAMER'],['Action',100000 - 200000,251,0,2016,3,0.7793814432989691
47323,Mike was Сursed,11.99,['Raum Studio'],['Action',50000 - 100000,263,1,2018,1,0.7073170731707317
47328,Slap City,19.99,['Ludosity'],['Action',100000 - 200000,826,11,2020,1,0.9491028927132918
47340,Aim Hero,4.99,['ProGames Studio'],['Action',200000 - 500000,120,49,2016,1,0.85843222463647
47347,Gunscape,19.99,['Blowfish Studios'],['Action',200000 - 500000,38,1,2016,3,0.6872990353697749
47355,Huntsman: The Orphanage (Halloween Edition),8.99,['ShadowShifters'],['Action',50000 - 100000,2,0,2013,2,0.2972972972972973
47356,Omno,18.99,"['Future Friends Games', 'StudioInkyfox']",['Action',100000 - 200000,15,7,2021,1,0.9371134020618557
47357,Captain Lycop : Invasion of the Heters,0.99,['Aéronie'],['Action',20000 - 50000,312,0,2017,2,0.7142857142857143
47359,Spinch,14.99,['Akupara Games'],['Action',0 - 20000,71,1,2020,2,0.7125
47365,Hello Neighbor Alpha 4,0.0,['tinyBuild'],['Adventure',200000 - 500000,511,56,2019,1,0.8780592528982396
47380,VIOLET: Space Mission,4.99,['Killer Lobster'],['Action',0 - 20000,2,0,2016,2,0.47368421052631576
47383,Fake Hostel,4.99,['Romantic Room'],['Adventure',100000 - 200000,242,2,2021,1,0.6504559270516718
47384,Puff Town,1.99,['Cartoon game'],['Casual',0 - 20000,45,1,2021,1,0.7701149425287356
47388,Magical Girl Noble Rose,7.99,['WASABI entertainment'],['RPG'],0 - 20000,1,0,2021,1,0.7777777777777778
47390,Calvino Noir,6.99,['Calvino Noir'],['Adventure',50000 - 100000,733,0,2015,2,0.6473829201101928
47391,Grim Dawn,24.99,['Crate Entertainment'],['Action',5000000 - 10000000,1117,4429,2016,1,0.9349888719690758
47392,"Movavi Video Suite 18 - Video Making Software - Edit, Convert, Capture Screen, and more",94.99,['Movavi Software'],['Animation & Modeling',0 - 20000,3054,77,2018,1,0.7840095465393795
47394,Morphopolis,3.99,['Dan  Walters'],['Adventure',200000 - 500000,198,1,2014,1,0.8333333333333334
47396,FreeCell Quest,9.99,['Legend Studio'],['Casual',50000 - 100000,1165,3,2015,3,0.7053571428571429
47399,Dead Maze,0.0,['Atelier 801'],['Action',500000 - 1000000,57,135,2018,3,0.7430457331447431
47400,Dead Hungry Diner,3.99,['Black Market Games'],['Casual',20000 - 50000,204,2,2012,1,0.7596899224806202
47402,Girl Jigsaw,0.99,['Cartoon game'],['Casual',0 - 20000,13,0,2021,1,0.796875
47405,Choice Chamber,9.99,['Studio Bean'],['Action',20000 - 50000,550,1,2015,1,0.7360594795539034
47413,Deckadance 2,49.99,['Stanton DJ'],['Audio Production'],0 - 20000,2344,0,2016,1,0.6363636363636364
47414,Batman: Arkham City - Game of the Year Edition,19.99,['Warner Bros. Interactive Entertainment'],['Action',2000000 - 5000000,325,755,2012,1,0.9590050471708158
47415,Outrage,3.99,['New Reality Games'],['Adventure',50000 - 100000,244,2,2016,1,0.6258992805755396
47416,BABYLON'S FALL,59.99,['Square Enix'],['Action',20000 - 50000,3480,9,2022,1,0.44038929440389296
47421,Kinkoi: Golden Loveriche,34.99,"['NekoNyan Ltd.', 'HIKARI FIELD']",['Casual',20000 - 50000,722,66,2021,1,0.9784442361761949
47423,Hotel R'n'R,19.99,['Wolf & Wood Interactive Ltd'],['Action',0 - 20000,43,1,2020,1,0.8835616438356164
47424,Veritex,0.0,['Veritex Studios LLC'],['Action',0 - 20000,6,0,2018,1,0.37857142857142856
47425,Darwinia,9.99,['Introversion Software'],['Indie',50000 - 100000,27,3,2005,3,0.7857142857142857
47426,Pogostuck: Rage With Your Friends,6.99,['Hendrik Felix Pohl'],['Action',200000 - 500000,474,87,2019,1,0.8432835820895522
47427,UFO: Afterlight,6.99,['Bohemia Interactive'],['Indie',200000 - 500000,11,7,2014,1,0.6347438752783965
47428,Alisa,17.99,['Casper Croes'],['Action',0 - 20000,4,2,2021,3,0.8983451536643026
47436,Streets of Chaos,0.0,['SimProse Studios'],['Indie',100000 - 200000,194,0,2015,1,0.34831460674157305
47442,Mirror Party,1.99,['NIJICO'],['Action',100000 - 200000,420,2,2021,1,0.7463581833761782
47449,Deus Ex: Invisible War,6.99,['Square Enix'],['Action'],1000000 - 2000000,279,9,2007,1,0.5722100656455142
47452,Golfing Over It with Alva Majo,4.99,['Majorariatto'],['Action',100000 - 200000,255,3,2018,3,0.7294649585531273
47454,Katy and Bob Way Back Home,4.99,['8Floor'],['Casual',50000 - 100000,279,392,2017,1,0.797752808988764
47460,Bear With Me - Episode One,0.0,['Exordium Games'],['Adventure',100000 - 200000,102,1,2016,3,0.8770581778265643
47461,Batman - The Telltale Series,14.99,['Telltale'],['Adventure'],500000 - 1000000,590,49,2016,1,0.8343853820598006
47463,1953: NATO vs Warsaw Pact,1.99,['Wastelands Interactive'],['Strategy',0 - 20000,217,0,2014,1,0.24285714285714285
47465,The Chrono Jotter,11.99,"['2P Games', 'Orca Layout']",['Adventure',20000 - 50000,252,9,2021,1,0.9686956521739131
47470,Thirty Years' War,29.99,['Slitherine Ltd.'],['Simulation',0 - 20000,369,0,2016,1,0.6739130434782609
47471,Midnight Protocol,14.99,['Iceberg Interactive'],['Action',20000 - 50000,98,3,2021,3,0.8929889298892989
47474,Project CARS 3,59.99,['BANDAI NAMCO Entertainment'],['Racing'],200000 - 500000,683,53,2020,1,0.5372600065082981
47475,Dicey Dungeons,14.99,['Terry Cavanagh'],['Indie',200000 - 500000,272,455,2019,3,0.902158273381295
47477,Cursor Challenge,0.99,['Insane Dreamers'],['Casual',0 - 20000,23,3,2016,1,0.6176470588235294
47478,Angry Video Game Nerd Adventures,4.99,['Screenwave Media'],['Action',100000 - 200000,136,1,2013,1,0.8871177618737801
47479,Thrillville®: Off the Rails™,9.99,['LucasArts'],['Action',20000 - 50000,969,11,2009,1,0.9242658423493045
47482,The Black Watchmen,9.99,['Alice & Smith'],['Adventure',50000 - 100000,212,2,2015,2,0.8961593172119487
47484,Oozi: Earth Adventure,9.99,['Awesome Games Studio'],['Casual',20000 - 50000,300,1,2013,1,0.8599537037037037
47487,Lake,19.99,"['Whitethorn Games', 'Gamious']",['Adventure',100000 - 200000,349,33,2021,1,0.8759195684158901
47488,Forest Warrior,3.99,[''],['Action',0 - 20000,29,0,2015,1,0.4375
47490,Omikron: The Nomad Soul,9.99,['Square Enix'],['RPG'],100000 - 200000,29,0,2013,1,0.6784313725490196
47496,Lawn Mowing Simulator,14.99,['Curve Games'],['Simulation'],50000 - 100000,368,131,2021,1,0.7418459403192228
47512,Men of War™,4.99,['Fulqrum Publishing'],['Strategy'],200000 - 500000,501,35,2009,1,0.8921089385474861
47515,Northmark: Hour of the Wolf,9.99,['Rake in Grass'],['Adventure',20000 - 50000,891,0,2014,2,0.8440677966101695
47517,Time Warpers,19.99,['Proton Studio Inc'],['Action',20000 - 50000,4060,40,2020,2,0.852589641434263
47526,Puzzle Quest: Galactrix,9.99,"['D3Publisher of America, Inc.']",['Casual',20000 - 50000,860,1,2009,1,0.46179401993355484
47532,Brigade E5: New Jagged Union,3.99,['Fulqrum Publishing'],['Simulation',0 - 20000,42773,2,2014,1,0.6822429906542056
47533,Brawlhalla,0.0,['Ubisoft'],['Action',20000000 - 50000000,206,16482,2017,2,0.8409034279609384
47537,Hakuoki: Kyoto Winds,9.99,['Idea Factory International'],['Adventure'],50000 - 100000,1035,40,2017,1,0.9162640901771336
47546,Project: R.E.B.O.O.T,0.51,['Volens Nolens Games'],['Action',0 - 20000,212,5,2016,1,0.5625
